number,area,perimeter,minellipse,majellipse,cumulativeAverage
486,2129,222,36.4727,74.5773,2173.113169
487,2186,236,36.5225,76.3304,2173.13963
488,1932,224,32.961,74.781,2172.645492
489,2270,230,37.633,76.9215,2172.844581
490,2430,236,38.6541,80.1403,2173.369388
491,2471,238,39.927,78.9138,2173.97556
492,2568,240,40.6418,80.5886,2174.776423
493,2472,238,38.2539,82.4197,2175.37931
494,1959,222,34.2598,72.8978,2174.941296
495,2001,220,38.4468,66.6806,2174.589899
496,2159,244,34.0844,80.8466,2174.558468
497,2044,212,35.1435,74.2257,2174.295775
498,1743,232,28.3949,78.4121,2173.429719
499,2431,238,38.5896,80.3134,2173.945892
500,2290,232,37.143,78.7483,2174.178
501,2070,214,36.5797,72.2003,2173.97006
502,2132,216,36.1571,75.1828,2173.886454
503,2094,233,34.3376,77.7672,2173.727634
504,2098,221,36.9561,72.3854,2173.577381
505,2278,238,38.9458,74.7406,2173.784158
506,2057,228,35.2711,74.6125,2173.55336
507,1863,206,33.8944,70.092,2172.940828
508,2092,219,36.3476,73.4917,2172.781496
509,1877,214,33.5419,71.3914,2172.200393
510,2078,222,36.7287,72.2068,2172.015686
511,2306,226,38.6294,76.1855,2172.277886
512,2287,244,37.6709,77.4314,2172.501953
513,1545,188,31.2711,62.9941,2171.278752
514,2203,234,36.5781,76.9117,2171.340467
515,2441,246,40.2614,77.3575,2171.864078
516,2234,231,39.6241,72.171,2171.984496
517,1818,214,33.3883,69.4698,2171.299807
518,2153,228,38.0397,72.1771,2171.264479
519,1714,196,31.4302,69.5766,2170.38343
520,1942,218,34.4556,71.914,2169.944231
